class,pixel-wise,occurence
0,0.012080153606509292,0.012424849699398798
1,0.0010496496822702181,0.006056557559563571
2,0.003025253784645144,0.0025384101536406146
3,0.007248662228109924,0.005700289467824538
4,0.0007045419166448327,0.0024938766421732355
5,0.011343135370572648,0.009752839011356046
6,0.013849656739795121,0.014874192830104653
7,0.009019586186817615,0.009619238476953907
8,0.0018490108332086046,0.008194166109997774
9,0.0057932211205297965,0.011311511912714317
10,0.06308214955193306,0.06234691605433088
11,0.01751297276739895,0.007926965041193498
12,0.007365840767726489,0.009930973057225562
13,0.030061571756856108,0.021598753061678914
14,0.04765297387078748,0.02186595413048319
15,0.004634582965548446,0.010198174126029837
16,0.017327447214506714,0.019728345580048986
17,0.0072058239623204465,0.015898463593854377
18,0.0011816585613778456,0.002404809619238477
19,0.007802053680139153,0.005522155421955021
20,0.0011670341386145902,0.008060565575595636
21,0.004368952554222792,0.0074370964150523265
22,0.04193092624156556,0.025384101536406144
23,0.004971551601564224,0.009574704965486529
24,0.011506438173445578,0.022578490313961256
25,0.02817941808442095,0.03736361612113115
26,0.001770831838066305,0.0038744154976619906
27,0.001237965948710359,0.005477621910487642
28,0.06288475669288567,0.05740369628145179
29,0.06107608169533756,0.06074370964150523
30,0.012985749364867464,0.009262970385214874
31,0.0013313275093254945,0.003518147405922957
32,0.0011121053095861275,0.016700066800267203
33,0.015031263280104889,0.009797372522823424
34,0.010472859749894517,0.01567579603651748
35,6.591502834305578e-05,0.002404809619238477
36,0.09489488484803321,0.07285682476063238
37,0.0011462083710276096,0.006813627254509018
38,0.002533649272452579,0.0034290803829881986
39,0.007080606000141421,0.00895123580494322
40,0.024249996953245256,0.02404809619238477
41,0.004149193887218877,0.0074370964150523265
42,0.008916034999492822,0.006769093743041639
43,0.0039018467137779214,0.009441104431084391
44,0.0035170891403273024,0.008105099087063014
45,0.0010754586346701117,0.01108884435537742
46,0.08991939265056212,0.06631039857492764
47,0.004309984506012571,0.0033400133600534404
48,0.019337527195977675,0.00895123580494322
49,0.009934815596720369,0.009040302827877978
50,0.0028693477273894668,0.007615230460921844
51,0.017623184818982153,0.0100645735916277
52,0.05733392340397345,0.06515252727677577
53,0.0011219654695312957,0.0028056112224448897
54,0.011495256895125695,0.010198174126029837
55,0.06075482667319791,0.05771543086172345
56,0.031673386027532356,0.019906479625918502
57,0.008270838283801771,0.015720329547984857
58,0.00400745815215303,0.008594967713204187
