class,pixel-wise,occurence
0,0.37905129312467173,0.09958636990348631
1,0.051845425517619156,0.08193815245223557
2,0.18106752219320346,0.08835926728382903
3,0.007007496296858587,0.020287571400433326
4,0.0083266474619633,0.026432932834350994
5,0.012635000533416492,0.08906834744928108
6,0.0018174032002937894,0.03702974197360646
7,0.005319189504415047,0.0644869017136104
8,0.13921520457548253,0.08209572582233603
9,0.011402546858587185,0.03896001575733701
10,0.024030794416155132,0.04522355721883002
11,0.016717546607265953,0.05830214693716762
12,0.0018932066845292804,0.021233011621036045
13,0.08021914698496586,0.08087453220405752
14,0.002909222771139706,0.0076817017923970846
15,0.002967077944459034,0.005909001378766989
16,0.00345092004086791,0.0032696474295844003
17,0.0014006087359260111,0.010084695686428993
18,0.0050460270472935265,0.0359661217254284
255,0.0636777195008863,0.10321055741579672
